main_sound,level,hanja,meaning,radical,strokes,total_strokes
교,8급,校,"[[['학교'], ['교']]]",木,6,10
교,8급,敎,"[[['가르칠'], ['교']]]",攴,7,11
구,8급,九,"[[['아홉'], ['구']]]",乙,1,2
국,8급,國,"[[['나라'], ['국']]]",囗,8,11
군,8급,軍,"[[['군사'], ['군']]]",車,2,9
금,8급,金,"[[['쇠'], ['금']], [['성(姓)'], ['김']]]",金,0,8
남,8급,南,"[[['남녘'], ['남']]]",十,7,9
녀,8급,女,"[[['계집'], ['녀']]]",女,0,3
년,8급,年,"[[['해'], ['년']]]",干,3,6
대,8급,大,"[[['큰'], ['대']]]",大,0,3
동,8급,東,"[[['동녘'], ['동']]]",木,4,8
륙,8급,六,"[[['여섯'], ['륙']]]",八,2,4
만,8급,萬,"[[['일만'], ['만']]]",艸,9,13
모,8급,母,"[[['어미'], ['모']]]",毋,1,5
목,8급,木,"[[['나무'], ['목']]]",木,0,4
문,8급,門,"[[['문'], ['문']]]",門,0,8
민,8급,民,"[[['백성'], ['민']]]",氏,1,5
백,8급,白,"[[['흰'], ['백']]]",白,0,5
부,8급,父,"[[['아비'], ['부']]]",父,0,4
북,8급,北,"[[['북녘'], ['북']], [['달아날'], ['배']]]",匕,3,5
사,8급,四,"[[['넉'], ['사']]]",囗,2,5
산,8급,山,"[[['메'], ['산']]]",山,0,3
삼,8급,三,"[[['석'], ['삼']]]",一,2,3
생,8급,生,"[[['날'], ['생']]]",生,0,5
서,8급,西,"[[['서녘'], ['서']]]",襾,0,6
선,8급,先,"[[['먼저'], ['선']]]",儿,4,6
소,8급,小,"[[['작을'], ['소']]]",小,0,3
수,8급,水,"[[['물'], ['수']]]",水,0,4
실,8급,室,"[[['집'], ['실']]]",宀,6,9
십,8급,十,"[[['열'], ['십']]]",十,0,2
오,8급,五,"[[['다섯'], ['오']]]",二,2,4
왕,8급,王,"[[['임금'], ['왕']]]",玉,0,4
외,8급,外,"[[['바깥'], ['외']]]",夕,2,5
월,8급,月,"[[['달'], ['월']]]",月,0,4
이,8급,二,"[[['두'], ['이']]]",二,0,2
인,8급,人,"[[['사람'], ['인']]]",人,0,2
일,8급,一,"[[['한'], ['일']]]",一,0,1
일,8급,日,"[[['날'], ['일']]]",日,0,4
장,8급,長,"[[['긴'], ['장']]]",長,0,8
제,8급,弟,"[[['아우'], ['제']]]",弓,4,7
중,8급,中,"[[['가운데'], ['중']]]",丨,3,4
청,8급,靑,"[[['푸를'], ['청']]]",靑,0,8
촌,8급,寸,"[[['마디'], ['촌']]]",寸,0,3
칠,8급,七,"[[['일곱'], ['칠']]]",一,1,2
토,8급,土,"[[['흙'], ['토']]]",土,0,3
팔,8급,八,"[[['여덟'], ['팔']]]",八,0,2
학,8급,學,"[[['배울'], ['학']]]",子,13,16
한,8급,韓,"[[['한국', '나라'], ['한']]]",韋,8,17
형,8급,兄,"[[['형'], ['형']]]",儿,3,5
화,8급,火,"[[['불'], ['화']]]",火,0,4
